Lambda,phi_a,sigma_a,alpha,phi_b,sigma_b,weight
3.060161611496528,-0.0687714333794784,0.015950886897322405,1.8183154714270553,0.06173326798112556,0.036739038743286934,0.0
2.2286985548013547,-0.06022954684935752,0.028691811736329377,1.8660950527944693,0.057378578473029324,0.10645792581559939,0.0
2.0297909134859617,-0.06669220000470891,0.02770198733982465,2.31096755517165,0.06320747859270415,0.0876548183864098,0.0
2.305681731353283,-0.04122566007860576,0.04055123337993928,1.9712943983658036,0.004539666694479434,0.09432061612446138,0.0
2.000329811459567,-0.045619849885002436,0.011311999668970844,2.1167354249954533,0.02208626473391963,0.11760355787133205,0.0
2.4770325666709776,-0.071742126799875,0.018312872873563903,1.8877071367862432,0.04322698763140913,0.03946966324814245,0.0
2.536972422201424,0.023970155127788814,0.011328613167100111,2.3656632999291927,0.02339265494166239,0.05422319360578803,0.0
1.7878916564499474,-0.04975020540387058,0.011954071170656836,2.695192253708211,0.007331583432280824,0.0857500524605517,0.0
3.0169479596336313,-0.10203575535920013,0.04557053398734287,1.7192100235186132,0.031112114493356057,0.016515822543365307,0.0
2.571341040387576,-0.04071565535423677,0.06162946828350615,1.5221219245467847,0.04954118697505688,0.10596690844898284,0.0
1.8927596412866978,-0.002140988956592843,0.13023467568528543,2.997607417583122,0.06671229406827613,0.11960790107455767,0.0
2.1182686376114988,0.023348804033968648,0.014391885414341669,2.503456491290888,0.023728807620376706,0.11521930927283848,0.0
2.866490422134333,-0.031916474325071595,0.017129819010083817,2.502382849553462,0.06858854976047804,0.031846142623732455,0.0
2.7543477461550423,-0.057849908401762185,0.05219061065776881,1.9013344283391393,0.13883310834399232,0.1100480063162588,0.0
2.78865071608803,0.014734450485695702,0.18350204673742904,2.898449497530897,0.10241702026494864,0.0869049393471085,0.0
2.842607903160539,-0.057990121778132925,0.03217130454567779,2.3416183406701347,0.20905809708582826,0.12163537667179003,0.0
2.9729838761798772,-0.10424555278858924,0.058708122004708936,2.0373145254184903,0.18609570140001666,0.11040509143468707,0.0
2.2396278922289428,-0.051599005585906826,0.010210070589374273,1.7464424378061518,0.02123169076334014,0.08068277987048246,0.0
2.7481070062888535,-0.03565942846683831,0.029827666902306954,1.7407266593500648,0.12247639253343102,0.10183095238879124,0.0
2.9152115119036996,0.030939934076764167,0.013835683612415321,2.467779371581039,0.004651712263015876,0.0650201066203524,0.0
2.3102157949134305,-0.07578210706837428,0.01720087487092639,1.8145150290893421,0.11739637204542307,0.1347908356971479,0.0
2.891632361457805,0.0708893913140118,0.11037199800777643,2.4533095074964093,0.06192865742176721,0.09611021221395111,0.0
1.511316821903549,-0.012811631501328899,0.01520068874764529,2.931026183787613,0.03183812754037116,0.11173057965777429,0.0
2.904506678047295,-0.1128346987006828,0.030512702290112,2.2317305316418983,0.1568988059816869,0.08641087188394102,0.0
2.814699760548113,-0.018518640222259936,0.10215726423549486,1.9553901532631568,0.09488857053618194,0.0947441848528821,0.0
2.732752473366531,-0.0362297981661269,0.036418707760688306,1.8704601653810011,0.1570623348671528,0.1174469429632256,0.0
2.959577408636295,-0.018619575504812122,0.013339457303231944,1.2447260572859171,0.07566325959394062,0.07028282260830793,0.0
2.598939139512674,-0.05797287564086007,0.0497451084867161,1.6440913309429028,0.0012304141787571232,0.06353358811591296,0.0
2.932511831428187,-0.0950210598595425,0.007996286580150022,2.6972246278598444,0.0956011543125332,0.04296499687272369,0.0
2.054805428566037,-0.008472195716725167,0.023257381921748078,2.388581019617808,0.13007973342234017,0.1330085765178359,0.0
2.7349196730280427,-0.1001272046873257,0.020435298299478447,2.081594815922152,0.03579958969875236,0.014122328591274479,0.0
1.514054908222225,-0.10316624633231353,0.11334002551995909,2.908791575618043,0.06654059566202594,0.13747072633127647,0.0
2.0637945794320864,-0.06897973137870225,0.009839771568011742,2.367776445026408,0.06467466053412246,0.0556814486414112,0.0
2.2745091215619317,-0.08618624506912136,0.07645157548818508,2.104355332269248,0.03898193253567705,0.030894079699758107,0.0
2.765292429031557,0.03573385543251596,0.028732039152005714,2.040758923385851,0.015807914073863994,0.11510026259678936,0.0
2.723517646226479,-0.04000431830919192,0.023490870414136045,1.8108898666184228,0.024900356579566605,0.015533954610997812,0.0
2.6551093384487228,-0.10489518046036933,0.020943749842833155,1.4015581264234962,0.02904056260592835,0.0298465278012756,0.0
2.7781071294189563,-0.10457387607815158,0.008452192289015179,2.296863379958902,0.017776627790320732,0.010838177061153533,0.0
2.7545967432576015,0.013640665404871785,0.010146223256651134,1.2271653861345975,0.02742802819343205,0.13201070072891746,0.0
2.7680558070523564,-0.05940337667717578,0.02075461386231407,2.1887275464538005,0.0026580561972590912,0.02410642129181259,0.0
2.7051044432829143,-0.04727103514973542,0.049994905130638964,2.831233910291514,0.1284969909423629,0.06504773579141172,0.0
2.570483688392147,0.004223335951270682,0.03285277927657887,1.7581864818460993,0.1330550776654169,0.13580752396349374,0.0
2.439845925579254,-0.02530739053787079,0.06038893520497508,1.7671936621348279,0.09194180248892858,0.09965146049203853,0.0
3.038800836848269,0.00955837121976473,0.07152512951920853,2.836542575549781,0.20749937650949993,0.07189482569242964,0.0
2.909478671261444,0.04554625581164913,0.014397816944958805,2.968968614488399,0.2039902761570619,0.054033896820097654,0.0
1.5408241160973464,-0.025327594559226035,0.020423355491587105,2.674689787509412,0.0951467378437723,0.13496529623440484,0.0
2.0464272327200663,-0.022087101117159613,0.10626964507089363,2.3168135744443097,0.013713744698039581,0.07806439798339707,0.0
2.7306143434817485,0.019303509067152988,0.007457619578836824,2.778264220895627,0.19246752923929955,0.07488960392509851,0.0
2.6235455645277104,-0.008662260012415351,0.011533399454263927,1.216562245066461,0.059701943000958116,0.0625925768391217,0.0
2.0098887641801118,-0.10233963131738628,0.17278557738953573,2.2619942906702777,0.001172256220955048,0.08477875246937557,0.0
2.956002012951202,0.009773492722488175,0.014404566433418187,0.9605094623585385,0.04761621138734023,0.1029467340838897,0.0
1.6733411703464292,-0.059272085887732216,0.02894037083656263,2.2125505082531265,0.0862867703983001,0.13644067978373897,0.0
1.7211428215844164,-0.02925628077784294,0.04947475839907224,2.148523106976409,0.022938701193232672,0.1294808313063312,0.0
2.742697105759475,0.0215237797090143,0.028208064417309064,1.7989303309747844,0.005826845907171188,0.07855679544011657,0.0
3.0349584407127397,-0.019235391582662187,0.018406534476665497,0.6491779150912217,0.018056112407736222,0.1344758494220694,0.0
2.393902384390859,0.051661942959489546,0.018393232394055985,2.8751431178533102,0.1832452525722883,0.12760041617726506,0.0
1.77732347293797,-0.07268956359619119,0.03682552552009742,2.2406821236964056,0.023395150288336324,0.04110164942488877,0.0
2.65620836406624,0.023680598897078145,0.05029851070086037,2.508159666891122,0.16236038149279935,0.10190654560697848,0.0
2.317473991573021,-0.02568268173920389,0.023331102145286872,1.5509121705127198,0.0019623340647839517,0.06291570799394268,0.0
2.1777521378899163,-0.07138256667068213,0.10363451887210616,1.9137858585589012,0.09204712321592075,0.09859429823342898,0.0
