phi,V,sigma,residual
0.13910626262626263,1.5765782211485866,0.16156381183415872,0.0808741786477365
0.14150464646464647,1.4307441252920037,0.16175456235760757,-0.06911772270157357
0.1439030303030303,1.37771801447153,0.16181899935172714,-0.12493314084869112
0.14630141414141415,1.3681205883212584,0.16175736934902998,-0.1361606198611356
0.148699797979798,1.5174367286004975,0.16157002914235288,0.012687754656853567
0.15109818181818183,1.6419515153347994,0.16125738089701844,0.13818960594994434
0.15349656565656566,1.295308162036349,0.16081990527456225,-0.20617952258406347
0.1558949494949495,1.1891882411210009,0.16025816779122412,-0.30868429042972423
0.15829333333333334,1.4679172063447725,0.1595727827359822,-0.025321195824523413
0.16069171717171718,1.4462057676495836,0.15876451385426077,-0.04092909705300407
0.16309010101010102,1.3535830729461316,0.15783416723276883,-0.12624068726434268
0.16548848484848486,1.5818717744838766,0.15678266578370784,0.11056168218285478
0.1678868686868687,1.598803908942674,0.1556110619163058,0.13753763500930338
0.17028525252525253,1.3728967409626207,0.15432048860764927,-0.07723194198960082
0.17268363636363637,1.3923951361405453,0.15291225185060822,-0.04544407205562351
0.1750820202020202,1.5152199276937846,0.15138775351615438,0.0909333112352364
0.17748040404040405,1.347272820272576,0.14974860259763256,-0.06222951615493244
0.1798787878787879,1.185285232948352,0.1479965504381045,-0.20810349944446904
0.18227717171717173,1.363261529634492,0.14613353983529115,-0.012806193590262804
0.18467555555555557,1.2217762047957779,0.14416174170756646,-0.13589985721432307
0.1870739393939394,1.376169461030203,0.14208355609207307,0.038303807735273754
0.18947232323232324,1.2359420740977671,0.13990165489582543,-0.08096470274460876
0.19187070707070708,1.2561153611781852,0.1376190083585419,-0.03856047775124427
0.19426909090909092,1.3268104820459976,0.1352389382603572,0.05561695194383076
0.19666747474747476,1.2133302638864283,0.132765155848798,-0.03333737327288033
0.1990658585858586,1.1196358390157983,0.13020180188676392,-0.1013034593029174
0.20146424242424243,1.0450754288883886,0.12755355622205913,-0.1489640433028261
0.20386262626262627,1.3585753436263452,0.12482567436920983,0.19279619793634062
0.2062610101010101,1.2481315797271049,0.12202411972034288,0.11151087766923706
0.20865939393939395,0.902407530493865,0.11915566449995432,-0.2037297210518314
0.2110577777777778,0.9269135209644792,0.116228064498102,-0.14759790093217218
0.21345616161616163,1.082290072388961,0.11325025223505536,0.04056557794785087
0.21585454545454547,0.9175494449363616,0.11023258981253219,-0.09037711605439813
0.2182529292929293,0.9497343607078566,0.1071872541129471,-0.023190892558139442
0.22065131313131314,0.9981508549216549,0.10412872872917645,0.061132293051765485
0.22304969696969698,0.8914290104768456,0.10107458260224307,-0.008545899508821564
0.22544808080808082,0.8307260083126067,0.0980467002937464,-0.031097376242070207
0.22784646464646466,0.7636115898488529,0.09507343961140338,-0.05882237995937356
0.2302448484848485,0.7666105141946988,0.09219388867080018,-0.015291074616395894
0.23264323232323234,0.7765180320744924,0.08946779402787126,0.0359596590144895
0.23504161616161617,0.8629839632358618,0.08700646175936774,0.1649094588077018
0.23744,0.7806600417136754,0.08520475730290415,0.12606621370194038
