Lambda,phi_a,sigma_a,alpha,phi_b,sigma_b,weight
1.5890464008627703,0.06750805680534322,0.015602161460768498,2.38082751867185,0.19556471699645644,0.07615671766193237,0.0
1.7189281832593648,-0.13765060509850896,0.13707644731560634,2.593337959827644,0.018070423680395197,0.023075297201838107,0.0
1.6333933170242303,-0.07843440271531935,0.04550597204883747,1.8782198287297172,0.2804870959254717,0.09540700669704144,0.0
1.0351837739054193,-0.02204453683359983,0.07713653941588107,2.3997852607070946,0.24272717225143803,0.2049871470272953,0.0
1.5593930350373844,-0.0749753545735622,0.284750009667465,2.834900754875071,0.029010266491444666,0.03533195736583869,0.0
1.6689038789513293,-0.04471163376673129,0.014108417195044033,2.2122615488478106,0.1321940727012999,0.030770183986102567,0.0
1.2047742770125591,-0.16061224641089603,0.02687236317923517,1.7579419712779827,0.02813150355353301,0.09541856752866375,0.0
1.3757932212941706,0.002784518465478697,0.1738601739159016,1.9667596505042182,0.0026103634814051624,0.17978103566122933,0.0
1.305334955726743,-0.0220983076876822,0.016425996293366697,1.1922190109872677,0.0771579233055032,0.14077448149033583,0.0
1.642350062334081,-0.17491989589614002,0.16618993621342115,2.8134010281133115,0.3672781363300568,0.06663444172584569,0.0
1.351761314225947,-0.1678079531280148,0.03693186543532414,1.6085125018284918,0.009871731072484253,0.09477794913607192,0.0
1.113722484191024,-0.14532119461615411,0.018925288114998922,2.7491581447415796,0.221148995754743,0.12211856164111891,0.0
1.3872993159248928,-0.17520272411038,0.03364113221172904,2.957804131090689,0.15069167543248757,0.0433921347235052,0.0
0.9554365984010187,-0.17477538021981995,0.2721334504992499,2.6361554046702946,0.10121511686209053,0.09894693918705177,0.0
1.1648542580181251,0.042427700145964864,0.012260594020994374,2.208402728346231,0.041674717875348086,0.10100926474403658,0.0
1.6474343766170152,0.025694971302625297,0.052169584417354586,1.567094560730324,0.07705923729411325,0.044452167078035884,0.0
1.6590741957911281,0.09234534209324463,0.0133573952700376,2.6415706556723175,0.23229637744989978,0.06289477642632531,0.0
1.7099930855621968,-0.08653881819161108,0.057241199249937105,1.3909735952921838,0.3623443516135946,0.16997903589822502,0.0
1.5516240892792603,0.17792271386123953,0.05900035291129973,2.7204841451837787,0.3394719211491881,0.06661805808747209,0.0
1.3417977095299674,-0.16315694120724292,0.05053046504833949,1.8299129985099598,0.35391678164267953,0.22531267945826772,0.0
1.0880397431633866,-0.18994989499273343,0.04977079262047252,1.8090350910845274,0.06461270860417596,0.08818152816153077,0.0
1.1670071354398017,0.13382357566112585,0.015818928730242376,2.9585460973016224,0.31207554977114693,0.20927348842703686,0.0
1.6153629935386653,-0.021614053486730428,0.14035342094513478,2.6344876937625044,0.1254696010991307,0.035183346946251186,0.0
1.3346137897620773,-0.16725638086651137,0.016434414909306604,2.0046777990179896,0.36842749439493483,0.21645549686315824,0.0
1.2857244175399805,0.0008050313807908271,0.03289769857503322,2.0946860727391536,0.09534489872923133,0.04298332522804079,0.0
1.4993176055420332,-0.13384486770630127,0.05415505644152043,1.389278914178048,0.05665475938367067,0.037448012605269435,0.0
1.380056965544722,0.06354108024591137,0.12165871226301077,2.3573869975845057,0.2613849726954588,0.15516689465338876,0.0
1.6710605663495213,0.09092844828206798,0.09352949547973843,2.6328442159463705,0.27213127549035304,0.07674925270071845,0.0
1.6883891733141434,0.14501568181879604,0.13277423074428513,2.6543679222802385,0.09398883538279063,0.06628022910429357,0.0
1.5730433542626294,-0.13742161945650033,0.01850530969376611,2.7498438099545965,0.3198050108186921,0.04547387753875224,0.0
1.2260713158194656,-0.11215251846653582,0.29928666323533964,2.453996587508281,0.2983007811295006,0.1882231656874605,0.0
1.7079767036081908,-0.03371958706520098,0.09783261079572443,2.624308554884794,0.3371089041385559,0.046230322404133446,0.0
0.8349351536682239,-0.043693787261057215,0.04917718080438378,2.9191230821711542,0.05026239939933824,0.07326284371855357,0.0
1.1251169494790014,-0.11091867177555648,0.01673440718818217,1.4833095715261349,0.021395692617567325,0.1933410128306189,0.0
1.4212823223642712,0.11082767245489111,0.04658037425708887,2.882058437511991,0.14311227601652365,0.07938587151976295,0.0
0.9680599988589511,-0.09729099344848943,0.03131745367364016,2.336724431818797,0.013140744464188583,0.11459242852642623,0.0
1.598993280312256,-0.10560592461621728,0.015028601363602349,0.9140599685458074,0.24880993424177825,0.17116746642317046,0.0
1.675719781721547,-0.05908278363730479,0.023146961220475652,1.2461101643981358,0.12371209924756227,0.04531142393685626,0.0
1.5531576066065795,-0.0851425136268595,0.1882353773935697,2.815128808885443,0.26597345922342286,0.06520520518962443,0.0
1.7024848376851378,-0.018417361466506438,0.1707607668839615,2.3131641889027423,0.3029050978151611,0.07449557141305076,0.0
1.4263225416956244,-0.1728900498202429,0.013524734135594577,2.889962408257939,0.04389280742966355,0.013990021646489846,0.0
1.5805356191871534,0.04908743438943111,0.10055918559193157,2.007884686529703,0.28540099639786143,0.12591802486730386,0.0
1.1237550539570738,-0.16165123204577053,0.2311057843182763,2.6104491889668755,0.30796866331774375,0.178886538196976,0.0
0.9976312358877566,-0.12490777796354051,0.13627553993164487,1.713229876749311,0.1316165222147899,0.21243226495698767,0.0
1.1030891706654702,0.040687040027635984,0.10244451800437268,2.7627104417718185,0.2108257822398683,0.1405556802833049,0.0
0.8172226938750464,0.01716108661331489,0.09335640765079782,2.956746652497494,0.16248694743547445,0.17771587815351417,0.0
