phi,V,sigma,residual
0.14202020202020202,0.6032531137947974,0.07673210215399565,0.019489340947515976
0.14585858585858585,0.6518134398140046,0.0784372635825481,0.05000968866249511
0.1496969696969697,0.6051372222023729,0.08009267199175577,-0.013197824733598873
0.15353535353535352,0.5917847497867755,0.08169405488647367,-0.04187301301988544
0.15737373737373736,0.6040949747633794,0.08323781449713373,-0.04362540818501004
0.16121212121212122,0.7489107332938748,0.08472094277687045,0.088299353363688
0.16505050505050506,0.744908512110788,0.08614094849686298,0.07243169644528757
0.1688888888888889,0.6751858169671818,0.08749579365319109,-0.008221595838478035
0.17272727272727273,0.8360008217840488,0.08878384644065533,0.14261700595029292
0.17656565656565656,0.7649680393340818,0.09000382678034612,0.06244889143762766
0.1804040404040404,0.6400133207292079,0.09115477539143031,-0.07083759688243096
0.18424242424242424,0.8309633272850414,0.09223601150339472,0.11256202102856161
0.18808080808080807,0.7740781198910726,0.09324711332321779,0.04878656355274369
0.1919191919191919,0.6730508774616312,0.09418789103930165,-0.05861118344844296
0.19575757575757577,0.8574621298032302,0.0950583592389396,0.12007860044078866
0.1995959595959596,0.7848030212237136,0.09585872792198032,0.042124964645415486
0.20343434343434344,0.7885122277918962,0.09658937672604842,0.04122052158046208
0.20727272727272728,0.8914978636318175,0.0972508523584673,0.13981098746719844
0.2111111111111111,0.6265138674672173,0.09784384820610273,-0.1290805607130544
0.21494949494949495,0.7214951988499272,0.09836919749355214,-0.03766054528089513
0.21878787878787878,0.8105094329039111,0.09882786155945625,0.04810055379024725
0.22262626262626262,0.8817399150373552,0.0992209298740574,0.11640324230400712
0.22646464646464645,0.7946095953473861,0.0995496049974075,0.026620038832459558
0.23030303030303031,0.7644033095788683,0.09981519828523806,-0.006043321609228713
0.23414141414141415,0.760983843312893,0.10001912941517074,-0.01163594835161208
0.23797979797979799,0.8561576962987938,0.10016291902807284,0.08155851410334358
0.24181818181818182,0.9365595005692097,0.1002481818793763,0.16013073433414748
0.24565656565656566,0.7238168892741695,0.10027663298101658,-0.05423145773221294
0.2494949494949495,0.6603536480190125,0.10025007268478694,-0.11914901703418046
0.25333333333333335,0.8382040977797758,0.10017039398958257,0.057336574912382976
0.25717171717171716,0.8282654276480582,0.10003957614358043,0.04618875510536069
0.261010101010101,0.7736342868707767,0.09985968339483471,-0.009502778997111716
0.26484848484848483,0.9227331612279487,0.09963286414813044,0.13856697021560405
0.2686868686868687,0.9385922706237482,0.09936134984681631,0.15355923680033612
0.2725252525252525,0.7991292981558593,0.09904745364351189,0.013270419813177892
0.27636363636363637,0.8169114693686554,0.09869356897892459,0.03028579845512469
0.2802020202020202,0.9023989049002372,0.09830217073610581,0.11509401531250152
0.28404040404040404,0.7993985149457473,0.09787581449054802,0.011475474566139954
0.2878787878787879,0.6993777604512823,0.09741713454484127,-0.08910698419319363
0.2917171717171717,0.8238241686023657,0.09692884592692122,0.03483603200091656
0.29555555555555557,0.7371744783084649,0.09641374570796177,-0.052237175487500065
0.2993939393939394,0.8492301387158357,0.09587470987289884,0.05944694696709152
0.30323232323232324,0.7633229666635484,0.09531469903645078,-0.026802654945496385
0.30707070707070705,0.7867574717935637,0.09473675641538147,-0.003701430574237663
0.3109090909090909,0.84658974886303,0.09414401128699859,0.05582452111963532
0.3147474747474747,0.778873133401422,0.09353968156494791,-0.012181617434699366
0.3185858585858586,0.7243733291823726,0.09292707728120728,-0.0669134216959828
0.32242424242424245,0.6830494669841418,0.09230960551188357,-0.10847413250154059
0.32626262626262625,0.9263892528015332,0.09169077616321611,0.13462700440789854
0.3301010101010101,0.8620004093451576,0.09107421016751294,0.07009010173688612
