Lambda4,eta,n,V0,weight
0.8284084128332558,0.008552559942895444,1.0242701996814025,2.1412501952357967,0.0
1.6557775754988495,0.15669117261445228,0.47731867243336373,2.0253668063915766,0.0
1.727534232937878,0.014136855912969249,1.4666682634240544,0.4255808685152638,0.0
0.8151839017733644,0.010585938941007136,1.3377638071478555,1.9898841120674229,0.0
2.0542805003235136,0.11644276901419649,1.0143648150678681,1.2421083808914304,0.0
1.04463270980427,0.11706700160841707,1.2517275846558602,2.1401918328167326,0.0
1.1721396045745323,0.050865499282454076,1.3107980286496053,1.7530029806990504,0.0
0.8072259130368624,0.01354279288388369,1.4151376526673323,1.955988538163413,0.0
1.7879877265294215,0.11919241160138029,0.9773044412533092,1.5581929463474196,0.0
1.4090755308108212,0.14452705321524836,0.9415509008386527,2.139300914407478,0.0
1.7886782400213277,0.020142283613472936,1.1615639578664183,0.48258067265242754,0.0
1.478829930739705,0.09937137477919034,0.49414370896477144,1.7923078415509623,0.0
1.133630051126922,0.01005648156446857,0.19529401048118955,1.9320635620760482,0.0
1.014884603593998,0.041298492850810685,1.2419680497134367,1.7045955484307092,0.0
0.8770526828250989,0.012262297414772484,0.7570357381347781,2.1098808677009107,0.0
2.289661471192084,0.07980002128460967,0.05554856318668873,0.7757969416527413,0.0
1.9469401118852583,0.011926920218586084,0.6214733895978175,1.0418398228909247,0.0
1.398251073022599,0.052795888740382366,0.7831001817684184,1.7126768548330848,0.0
1.8463242764055698,0.09158972789415926,0.8183972390274371,1.3053312402599166,0.0
2.510143588489985,0.01905570143761421,0.8038668409113372,0.0014771201147452118,0.0
2.460483774785795,0.02530183849717199,0.5178304715679838,0.3379645878346844,0.0
1.6209559856873659,0.008191226489372956,1.2249298553231631,0.851763810714472,0.0
2.437743695889047,0.03576583804841881,1.1667096855830257,-0.8202583456178529,0.0
0.8065563224371558,0.01903402464927849,1.1148498536437794,1.990420016720436,0.0
1.4335212670852244,0.019010322516343634,0.23086638533892873,1.5977949432956287,0.0
1.9884722443624863,0.019761802536098574,0.23026181404372342,1.0385569408200763,0.0
1.9416041291929933,0.024348592090100526,1.075837830996996,0.2130879568867745,0.0
1.5479506850343125,0.06900648225299653,1.4532917878845488,1.158503747586637,0.0
1.7768800538644067,0.01730141534586649,1.1102757247679191,0.5929255446882142,0.0
0.867261365180162,0.018888324317602307,0.4967543344488799,2.0939781909964346,0.0
1.5460174735474594,0.027942371447623494,0.9689330542535181,1.006264495840413,0.0
2.054057008175114,0.08074271369962546,1.4997053365512572,0.1779221335677743,0.0
1.3906356164904152,0.10950953512184142,0.10055569763612766,1.6414892594832198,0.0
1.3356961270399756,0.04766561319307497,1.5105183050558013,1.1949595588099444,0.0
2.581560396491926,0.4525516155619075,0.07281053842070258,0.9128166895432139,0.0
2.033519129933378,0.016792925237467383,1.1763114225394278,-0.03661375170545833,0.0
0.8526237872953367,0.039053498524631185,0.062425311130575104,2.046738135236687,0.0
0.9324182950073093,0.010975190935588715,0.6184646335187328,1.99031285709927,0.0
1.200985687057617,0.12325901318998353,0.4509261978152994,2.021922930029975,0.0
2.60227489768174,0.0674400317627808,1.2320200095199187,-0.16486162513078906,0.0
1.6557417660936142,0.15326994028276628,0.8348274063771259,1.9347371322091966,0.0
0.8451617816300341,0.01802985965118017,1.5104487295716928,1.642737235987282,0.0
1.9393340925405098,0.0949764944522473,0.8509462307464345,1.1001076161706917,0.0
1.674651570609178,0.008301739950245478,1.031033778504577,0.8903458104993174,0.0
1.2796218804763622,0.012673502321917721,0.35176663407971454,1.6680170250565696,0.0
2.184340581621386,0.03941356839606571,0.5770811027989489,0.5411004196709994,0.0
1.641726579974406,0.020824426500911243,1.4158617454509441,0.11108151875330385,0.0
1.8111412045052757,0.013566833473322201,1.1373176239342784,0.5391111150201442,0.0
0.965650910548603,0.05858874285442962,0.31518225771445785,2.0225673483624496,0.0
1.4496866494271718,0.030447815882074434,0.4198667396494595,1.3882443939754059,0.0
2.527194481592492,0.017522612235704643,0.7565423694080613,-0.075583320528811,0.0
0.8411773552033792,0.028777377502214655,0.8148130369182265,1.9210116042234375,0.0
1.5712643788322866,0.0373852379521856,0.39051086354191833,1.264049359582708,0.0
1.1517153116621746,0.025554307909598877,0.9622157268930877,1.4512314355856577,0.0
0.899597927659679,0.03400605895664657,0.5354435073166759,1.8964046431458232,0.0
2.418334505073252,0.08361574313411028,0.9948541581627268,0.32290423678356683,0.0
1.181819934678165,0.023538251766031172,1.3826163750218698,0.9376207067880618,0.0
1.6808963471977856,0.26423427169589875,0.29192579666909335,1.9328969335358979,0.0
1.8940607793072795,0.16380978695833076,0.6754027833734306,1.7709766146351584,0.0
2.494666716854979,0.027519971556497127,0.1499041246494648,0.3888816585036339,0.0
2.288561483660196,0.08304156299951404,0.26517793259030087,0.7782458162696919,0.0
0.0008707217934204338,0.032873703549123875,0.6986558247866643,-2.1729924408461,0.0
0.004424463914335186,0.410416722064401,0.8078417685031012,-2.1723122608210175,0.0
0.002444481836393079,0.013761513976308681,0.36199814641804934,-2.172548571428919,0.0
2.433156742213597,0.13544711066691623,0.29148369884037106,0.9540594780186047,0.0
0.0017174405591868108,0.4905353739887373,0.3800801527208278,-2.167192635292102,0.0
1.1871702977998912,0.06780865132778617,0.3987459817710696,1.752048528837435,0.0
0.0016277131911793937,0.04346443458632549,1.272612625113122,-2.1590577834087092,0.0
0.09714376916179816,0.3658041412278173,1.3132771667989358,-2.1641858529429423,0.0
0.007383280519247832,0.048001835827345615,0.8835646678742535,-2.1606436588822886,0.0
0.007716852317498084,0.03181229927876801,0.5359072086199629,-2.1613294076507006,0.0
0.017523833472958127,0.2896181830585045,0.40248487647237075,-2.1603226322673046,0.0
0.0045130680290598945,0.06338975393034124,0.7428762839365582,-2.1555664743963465,0.0
1.3956729960419463,0.05250135114172744,0.18760806800168023,1.5087134792488555,0.0
1.4589651515955184,0.19229258597474122,0.7194076549162809,2.1369114123537187,0.0
0.10190991449851632,0.41744649390333555,1.5054363978927692,-2.1531961850127765,0.0
0.0034695526969506134,0.538741370380788,0.7185396097516399,-2.148325825046275,0.0
2.099943935030552,0.03640774125188158,0.23029373206289527,0.6859021168455066,0.0
0.007652624206033998,0.2076801183748735,1.0114333702313274,-2.1506185912316993,0.0
1.5081061357855505,0.11459861266974594,0.18793747018851292,1.5024068188469841,0.0
1.5902610601577547,0.01942129196824532,0.6977848837350539,1.0537258899742068,0.0
1.1453634250121352,0.09828398905930255,0.9556513854811959,1.7723955468416448,0.0
